drizzle.__drizzle_migrations           rows=5
neon_auth.account                      rows=0
neon_auth.invitation                   rows=0
neon_auth.jwks                         rows=0
neon_auth.member                       rows=0
neon_auth.organization                 rows=0
neon_auth.project_config               rows=1
neon_auth.session                      rows=0
neon_auth.user                         rows=0
neon_auth.verification                 rows=0
public.card_reports                    rows=0
public.cards                           rows=160
public.certificates                    rows=0
public.children                        rows=1
public.curriculum_objectives           rows=0
public.question_impressions            rows=10
public.quiz_questions                  rows=140
public.reviews                         rows=0
public.sessions                        rows=0
public.study_sets                      rows=27
public.subscriptions                   rows=0
